[DEBUG]20151112@09:16:35,091:org.apache.http.wire - http-outgoing-3 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "Content-Length: 74[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "Host: 127.0.0.1:7055[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_45)[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "[\r][\n]"
[DEBUG]20151112@09:16:35,092:org.apache.http.wire - http-outgoing-3 >> "{"url":"http://dgphxmstap008.phx.gapinc.dev:8080/mstre2e/servlet/mstrWeb"}"
[DEBUG]20151112@09:16:35,719:org.apache.http.wire - http-outgoing-3 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "content-type: application/json; charset=UTF-8[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "connection: close[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "content-length: 87[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "server: httpd.js[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "date: Thu, 12 Nov 2015 17:16:35 GMT[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.wire - http-outgoing-3 << "[\r][\n]"
[DEBUG]20151112@09:16:35,720:org.apache.http.headers - http-outgoing-3 << HTTP/1.1 200 OK
[DEBUG]20151112@09:16:35,720:org.apache.http.headers - http-outgoing-3 << content-type: application/json; charset=UTF-8
[DEBUG]20151112@09:16:35,720:org.apache.http.headers - http-outgoing-3 << connection: close
[DEBUG]20151112@09:16:35,720:org.apache.http.headers - http-outgoing-3 << content-length: 87
[DEBUG]20151112@09:16:35,720:org.apache.http.headers - http-outgoing-3 << server: httpd.js
[DEBUG]20151112@09:16:35,721:org.apache.http.headers - http-outgoing-3 << date: Thu, 12 Nov 2015 17:16:35 GMT
[DEBUG]20151112@09:16:35,721:org.apache.http.wire - http-outgoing-3 << "{"name":"get","sessionId":"e8de338d-7b1d-db44-a767-9e6f56d7c539","status":0,"value":""}"
[DEBUG]20151112@09:16:35,721:org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-3: Close connection
[DEBUG]20151112@09:16:35,721:org.apache.http.impl.execchain.MainClientExec - Connection discarded
[DEBUG]20151112@09:16:35,722:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection released: [id: 3][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[DEBUG]20151112@09:16:36,726:org.apache.http.client.protocol.RequestAddCookies - CookieSpec selected: default
[DEBUG]20151112@09:16:36,726:org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
[DEBUG]20151112@09:16:36,726:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[DEBUG]20151112@09:16:36,726:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 4][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG]20151112@09:16:36,726:org.apache.http.impl.execchain.MainClientExec - Opening connection {}->http://127.0.0.1:7055
[DEBUG]20151112@09:16:36,726:org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connecting to /127.0.0.1:7055
